Date,Department,Ma_nhom_NSP1,NSP1_Name,NSP2_Name,NSP1_Code,NSP2_Code,Deliver
2023-03-06,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,684000.0
2024-01-27,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,40621800.0
2024-10-04,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,257532236.0
2023-10-21,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2775977098.0
2021-08-21,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,1870000.0
2022-01-07,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,1200000.0
2022-05-30,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,856238560.1
2023-03-18,PXK,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,59562378.0
2024-03-15,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,1066668.0
2020-11-05,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,5405050640.0
2022-06-17,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,2710000.0
2021-12-22,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,572644200.0
2022-01-14,BH1,L5,5- SP IOT,IoT,A005,B013,31612000.0
2024-01-11,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,130154833.3
2020-07-28,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,567785340.0
2021-02-05,PXK,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,1488428436.0
2024-05-21,BH1,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,24580500.0
2021-02-09,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,59223400.0
2021-06-13,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,7700000.0
2020-07-11,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,1710000.0
2024-10-24,PXK,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,16240000.0
2023-03-29,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,7615851460.0
2024-08-14,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,336752759.0
2021-06-24,BH1,L5,5- SP IOT,IoT,A005,B013,46014260.0
2025-02-11,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,87577200.0
2024-02-05,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,67679100.0
2023-05-04,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,29115000.0
2024-12-28,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,1515051720.0
2021-04-21,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,399237100.0
2023-09-22,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,24023880.0
2023-10-27,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,570482364.0
2023-11-25,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,54582840.0
2023-06-06,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,7860000.0
2021-11-04,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2639126152.0
2022-01-11,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,3930312280.0
2023-11-10,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,186331680.0
2022-05-23,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,1940658280.0
2022-01-16,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,108417600.0
2022-05-19,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,5489839648.0
2022-03-17,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,796268298.0
2020-12-12,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,699970810.0
2024-07-06,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,60314668.0
2022-06-03,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,663400.0
2022-03-29,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,17240000.0
2024-08-09,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,344471200.0
2021-08-05,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,1953000.0
2023-04-21,BH1,L5,5- SP IOT,IoT,A005,B013,97270.0
2023-08-26,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,3775202456.0
2024-04-27,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,15029400.0
2020-06-20,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,128378720.0
2021-10-29,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,454418300.0
2020-07-25,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,1446000.0
