Date,Department,Ma_nhom_NSP1,NSP1_Name,NSP2_Name,NSP1_Code,NSP2_Code,Deliver,Deliver_Plan,Plan_Type,Created_At
3/6/2023,BH2,L1,1- SP Công ngh? n?n,Ballat ?èn Hu?nh quang,A001,B014,684000,,,18:20.0
1/27/2024,BH1,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,40621800,,,18:20.0
10/4/2024,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,257532236,,,18:20.0
10/21/2023,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2775977098,,,18:20.0
8/21/2021,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,1870000,,,18:20.0
1/7/2022,BH1,L3,3- SP SMART,Thi?t b? ?i?n thông minh,A003,B020,1200000,,,18:20.0
5/30/2022,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,856238560.1,,,18:20.0
3/18/2023,PXK,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,59562378,,,18:20.0
3/15/2024,BH1,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,1066668,,,18:20.0
11/5/2020,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,5405050640,,,18:20.0
6/17/2022,BH2,L1,1- SP Công ngh? n?n,Ballat ?èn Hu?nh quang,A001,B014,2710000,,,18:20.0
12/22/2021,BH2,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,572644200,,,18:20.0
1/14/2022,BH1,L5,5- SP IOT,IoT,A005,B013,31612000,,,18:20.0
1/11/2024,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,130154833.3,,,18:20.0
7/28/2020,BH1,L3,3- SP SMART,S?n ph?m LED Smart,A003,B006,567785340,,,18:20.0
2/5/2021,PXK,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,1488428436,,,18:20.0
5/21/2024,BH1,L1,1- SP Công ngh? n?n,"Chao, choá",A001,B012,24580500,,,18:20.0
2/9/2021,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,59223400,,,18:20.0
6/13/2021,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,7700000,,,18:20.0
7/11/2020,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,1710000,,,18:20.0
10/24/2024,PXK,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,16240000,,,18:20.0
3/29/2023,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,7615851460,,,18:20.0
8/14/2024,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,336752759,,,18:20.0
6/24/2021,BH1,L5,5- SP IOT,IoT,A005,B013,46014260,,,18:20.0
2/11/2025,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,87577200,,,18:20.0
2/5/2024,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,67679100,,,18:20.0
5/4/2023,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,29115000,,,18:20.0
12/28/2024,BH2,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,1515051720,,,18:20.0
4/21/2021,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,399237100,,,18:20.0
9/22/2023,BH1,L1,1- SP Công ngh? n?n,Máng ?èn,A001,B007,24023880,,,18:20.0
10/27/2023,BH1,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,570482364,,,18:20.0
11/25/2023,BH2,L3,3- SP SMART,Thi?t b? ?i?u khi?n,A003,B015,54582840,,,18:20.0
6/6/2023,BH2,L3,3- SP SMART,Thi?t b? ?i?n thông minh,A003,B020,7860000,,,18:20.0
11/4/2021,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2639126152,,,18:20.0
1/11/2022,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,3930312280,,,18:20.0
11/10/2023,BH2,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,186331680,,,18:20.0
5/23/2022,PXK,L2,2- SP Ch?t l??ng cao,SP LED G20,A002,B016,1940658280,,,18:20.0
1/16/2022,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,108417600,,,18:20.0
5/19/2022,BH1,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,5489839648,,,18:20.0
3/17/2022,BH2,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,796268298,,,18:20.0
12/12/2020,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,699970810,,,18:20.0
7/6/2024,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,60314668,,,18:20.0
6/3/2022,BH1,L2,2- SP Ch?t l??ng cao,Phích th? hi?n nhi?t ??,A002,B010,663400,,,18:20.0
3/29/2022,BH2,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,17240000,,,18:20.0
8/9/2024,BH1,L2,2- SP Ch?t l??ng cao,S?n ph?m CTDA,A002,B002,344471200,,,18:20.0
8/5/2021,BH1,L1,1- SP Công ngh? n?n,SP Khác,A001,B003,1953000,,,18:20.0
4/21/2023,BH1,L5,5- SP IOT,IoT,A005,B013,97270,,,18:20.0
8/26/2023,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,3775202456,,,18:20.0
4/27/2024,BH2,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,15029400,,,18:20.0
6/20/2020,BH1,L1,1- SP Công ngh? n?n,Phích ph? thông,A001,B009,128378720,,,18:20.0
10/29/2021,BH2,L2,2- SP Ch?t l??ng cao,?èn LED tiên ti?n,A002,B004,454418300,,,18:20.0
7/25/2020,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,1446000,,,18:20.0
9/30/2024,BH1,L1,1- SP Công ngh? n?n,Thi?t b? ?i?n,A001,B005,7801600,,,18:20.0
3/27/2022,BH2,L1,1- SP Công ngh? n?n,S?n ph?m LED n?n,A001,B001,2043047400,,,18:20.0
9/19/2023,PXK,L1,1- SP Công ngh? n?n,Ru?t phích,A001,B011,1114687728,,,18:20.0
8/8/2021,BH1,L1,1- SP Công ngh? n?n,Phích cao c?p,A001,B008,29004000,,,18:20.0
